BS1,Boston Red Stockings
CH1,Chicago White Stockings
CL1,Cleveland Forest Citys
FW1,Fort Wayne Kekiongas
NY2,New York Mutuals
PH1,Philadelphia Athletics
RC1,Rockford Forest Citys
TRO,Troy Haymakers
WS3,Washington Olympics
BL1,Baltimore Canaries
BR1,Brooklyn Eckfords
BR2,Brooklyn Atlantics
MID,Middletown Mansfields
WS4,Washington Nationals
BL4,Baltimore Marylands
ELI,Elizabeth Resolutes
PH2,Philadelphia Whites
WS5,Washington Blue Legs
CH2,Chicago White Stockings
HR1,Hartford Dark Blues
KEO,Keokuk Westerns
NH1,New Haven Elm Citys
PH3,Philadelphia Centennials
SL1,St. Louis Red Stockings
SL2,St. Louis Brown Stockings
WS6,Washington Nationals
BSN,Boston Red Caps
CHN,Chicago White Stockings
CN1,Cincinnati Reds
HAR,Hartford Dark Blues
LS1,Louisville Grays
NY3,New York Mutuals
PHN,Philadelphia Athletics
SL3,St. Louis Brown Stockings
IN1,Indianapolis Blues
ML2,Milwaukee Grays
PRO,Providence Grays
BFN,Buffalo Bisons
CL2,Cleveland Blues
SR1,Syracuse Stars
TRN,Troy Trojans
WOR,Worcester Ruby Legs
DTN,Detroit Wolverines
BL2,Baltimore Orioles
CN2,Cincinnati Red Stockings
LS2,Louisville Eclipse
PH4,Philadelphia Athletics
PT1,Pittsburg Alleghenys
SL4,St. Louis Brown Stockings
CL5,Columbus Buckeyes
NY4,New York Metropolitans
SL4,St. Louis Browns
BSN,Boston Beaneaters
NY1,New York Gothams
PHI,Philadelphia Quakers
BR3,Brooklyn Atlantics
IN2,Indianapolis Hoosiers
RIC,Richmond Virginians
TL1,Toledo Blue Stockings
WS7,Washington Nationals
ALT,Altoona Mountain City
BLU,Baltimore Monumentals
BSU,Boston Reds
CHU,Chicago/Pittsburgh (Union League)
CNU,Cincinnati Outlaw Reds
KCU,Kansas City Cowboys
MLU,Milwaukee Brewers
PHU,Philadelphia Keystones
SLU,St. Louis Maroons
SPU,St. Paul White Caps
WIL,Wilmington Quicksteps
WSU,Washington Nationals
BR3,Brooklyn Grays
LS2,Louisville Colonels
NY1,New York Giants
SL5,St. Louis Maroons
KCN,Kansas City Cowboys
WS8,Washington Nationals
CL3,Cleveland Blues
IN3,Indianapolis Hoosiers
PIT,Pittsburg Alleghenys
BR3,Brooklyn Bridegrooms
KC2,Kansas City Cowboys
CL6,Columbus Solons
CL4,Cleveland Spiders
BL3,Baltimore Orioles
BR4,Brooklyn Gladiators
RC2,Rochester Broncos
SR2,Syracuse Stars
TL2,Toledo Maumees
BRO,Brooklyn Bridegrooms
CHN,Chicago Colts
CIN,Cincinnati Reds
PHI,Philadelphia Phillies
BFP,Buffalo Bisons
BRP,Brooklyn Ward's Wonders
BSP,Boston Reds
CHP,Chicago Pirates
CLP,Cleveland Infants
NYP,New York Giants
PHP,Philadelphia Athletics
PTP,Pittsburgh Burghers
BS2,Boston Reds
CN3,Cincinnati Kelly's Killers
ML3,Milwaukee Brewers
WS9,Washington Statesmen
BRO,Brooklyn Grooms
PIT,Pittsburgh Pirates
BLN,Baltimore Orioles
LS3,Louisville Colonels
SLN,St. Louis Browns
WAS,Washington Senators
CHN,Chicago Orphans
BRO,Brooklyn Superbas
SLN,St. Louis Perfectos
SLN,St. Louis Cardinals
BLA,Baltimore Orioles
BOS,Boston Americans
CHA,Chicago White Sox
CLE,Cleveland Blues
DET,Detroit Tigers
MLA,Milwaukee Brewers
PHA,Philadelphia Athletics
WS1,Washington Senators
CLE,Cleveland Bronchos
SLA,St. Louis Browns
CLE,Cleveland Naps
NYA,New York Highlanders
CHN,Chicago Cubs
BSN,Boston Doves
BOS,Boston Red Sox
BRO,Brooklyn Dodgers
BSN,Boston Rustlers
BSN,Boston Braves
NYA,New York Yankees
BLF,Baltimore Terrapins
BRF,Brooklyn Tip-Tops
BUF,Buffalo Buffeds
CHF,Chicago Chi-Feds
IND,Indianapolis Hoosiers
KCF,Kansas City Packers
PTF,Pittsburgh Rebels
SLF,St. Louis Terriers
BRO,Brooklyn Robins
CLE,Cleveland Indians
BUF,Buffalo Blues
CHF,Chicago Whales
NEW,Newark Pepper
BSN,Boston Bees
PHI,Philadelphia Blue Jays
ML1,Milwaukee Braves
BAL,Baltimore Orioles
CIN,Cincinnati Redlegs
KC1,Kansas City Athletics
LAN,Los Angeles Dodgers
SFN,San Francisco Giants
LAA,Los Angeles Angels
MIN,Minnesota Twins
WS2,Washington Senators
HOU,Houston Colt .45's
NYN,New York Mets
CAL,California Angels
HOU,Houston Astros
ATL,Atlanta Braves
OAK,Oakland Athletics
KCA,Kansas City Royals
SE1,Seattle Pilots
MON,Montreal Expos
SDN,San Diego Padres
ML4,Milwaukee Brewers
TEX,Texas Rangers
SEA,Seattle Mariners
TOR,Toronto Blue Jays
COL,Colorado Rockies
FLO,Florida Marlins
ANA,Anaheim Angels
TBA,Tampa Bay Devil Rays
ARI,Arizona Diamondbacks
MIL,Milwaukee Brewers
LAA,Los Angeles Angels of Anaheim
WAS,Washington Nationals
TBA,Tampa Bay Rays
MIA,Miami Marlins
CHA,Chicago Cubs
CHN,Chicago White Sox
